vPHOS,vTP,iTCO2,Carotenoids_whole_blood,vUA,iGlu,vCK,iHct,iCl,iNa,iAnGap,vGLU,iK,iHb,vGLOB,vK,vAST,vALB,vCA,vNA,Age,FH
2.1,3.5,23.0,3.09,1.7,226.0,3534.6,22.0,112.0,149.0,22.0,226.0,5.8,7.5,1.4,4.88,508.0,2.1,12.1,155.0,50.0,0.0
5.8,2.4,30.0,1.27,8.0,250.0,1096.0,22.0,103.0,143.0,16.0,264.0,5.3,7.5,0.6,5.9,160.0,1.8,11.6,150.0,15.0,0.0
4.2,2.8,25.0,0.58,2.6,266.0,2359.0,20.0,109.0,143.0,14.0,269.0,4.2,6.8,0.8,5.0,180.0,2.0,13.4,150.0,21.0,0.0
7.1,3.4,27.0,2.21,6.7,252.0,4270.0,18.0,104.0,141.0,16.0,264.0,5.4,6.1,0.9,6.8,163.0,2.5,11.8,162.0,27.0,0.0
6.2,3.8,22.0,3.11,9.5,242.0,3995.0,28.0,120.0,155.0,20.0,249.0,6.0,9.5,1.6,7.6,268.0,2.3,12.7,165.0,31.0,0.0
4.8,2.3,24.0,0.26,6.2,217.0,2703.0,18.0,108.0,139.0,14.0,222.0,5.8,6.1,0.9,7.2,182.0,1.4,10.7,143.0,14.0,0.0
5.6,2.8,23.0,0.43,13.3,223.0,4522.0,18.0,107.0,139.0,16.0,227.0,6.5,6.1,1.0,7.7,182.0,1.8,11.4,147.0,20.0,0.0
6.6,3.1,26.0,0.4096109,5.3,258.0,5554.0,22.0,108.0,146.0,18.0,272.0,5.8,7.5,1.3,7.4,243.0,1.8,11.8,160.0,42.0,0.0
7.1,2.4,21.0,0.263244793,12.0,495.0,3673.0,15.0,104.0,137.0,18.0,497.0,5.3,5.1,1.0,7.3,280.0,1.4,12.8,144.0,10.0,0.0
6.1,3.1,16.0,0.506081078,11.5,240.0,827.0,20.0,111.0,141.0,21.0,238.0,5.5,6.8,1.1,6.3,195.0,1.9,11.3,147.0,16.0,0.0
2.7,2.4,22.0,1.62,4.2,227.0,912.0,18.0,108.0,139.0,15.0,228.0,5.3,6.1,0.6,6.1,177.0,1.8,11.8,151.0,10.0,0.0
5.8,3.0,23.0,1.03,6.1,258.0,4213.0,23.0,110.0,144.0,18.0,266.0,6.0,7.8,0.9,6.7,191.0,2.1,11.3,153.0,22.0,0.0
7.1,3.0,27.0,0.66,1.7,247.0,4383.0,22.0,108.0,144.0,15.0,264.0,4.9,7.5,0.8,6.3,175.0,2.2,11.2,156.0,26.0,0.0
6.9,4.6,20.0,0.05,8.2,196.0,749.0,23.0,109.0,143.0,20.0,205.0,5.2,7.8,3.4,6.3,249.0,1.2,12.7,158.0,21.0,0.0
5.5,3.4,20.0,0.5,7.8,197.0,5156.0,23.0,115.0,147.0,20.0,206.0,5.8,7.8,1.2,7.519999999999999,233.0,2.2,12.7,162.0,32.0,0.0
6.2,3.3,28.0,2.73,6.6,242.0,4906.0,21.0,108.0,143.0,13.0,256.0,5.2,7.1,1.1,5.8,174.0,2.2,11.9,156.0,27.0,0.0
5.0,3.8,25.0,1.36,7.6,247.0,4604.0,24.0,108.0,145.0,19.0,252.0,5.4,8.2,2.2,6.7,204.0,1.6,11.1,154.0,31.0,0.0
5.9,4.1,30.0,1.42,2.5,247.0,6016.2,30.0,104.0,144.0,16.0,249.0,5.4,10.2,1.9,8.1,246.0,2.2,12.3,151.0,49.0,0.0
6.3,3.3,26.0,1.5,4.4,259.0,3645.4,24.0,112.0,146.0,13.0,266.0,4.7,8.2,1.0,7.5200000000000005,606.0,2.3,11.4,154.0,49.0,0.0
